DLL,side,category,SHA256,path,provider,receipt_path,receipt_SHA256,private_dependencies,seed_consumers_reaching,strict_status,notes
api-ms-win-crt-convert-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-environment-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-filesystem-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-heap-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-locale-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-math-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-private-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-process-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-runtime-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-stdio-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-string-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-time-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
api-ms-win-crt-utility-l1-1-0.dll,Windows system boundary,Windows-satisfied,,C:\Windows\System32\apisetschema.dll,Windows API-set contract,C:\Windows\System32\apisetschema.dll,0f597c0970e9d870590e4a4722014e894a2e09801898db3a6a5eb9f571b9d4ea,,,Windows boundary satisfied,OS contract in the actual API-set schema; host(s): ucrtbase.dll
crypt32.dll,Windows system boundary,Windows-satisfied,9bbf4ff3065dd0a9acd6a665542381da5bb8f831e367338b6eafbd7712621535,C:\Windows\System32\crypt32.dll,Windows System32 DLL,C:\Windows\System32\crypt32.dll,9bbf4ff3065dd0a9acd6a665542381da5bb8f831e367338b6eafbd7712621535,,,Windows boundary satisfied,"Windows-supplied System32 leaf, not a package-provider claim."
kernel32.dll,Windows system boundary,Windows-satisfied,98f44d4a53a503ae1e94bb128675491bd05143177809626dea3e5caebdb7f2d3,C:\Windows\System32\kernel32.dll,Windows System32 DLL,C:\Windows\System32\kernel32.dll,98f44d4a53a503ae1e94bb128675491bd05143177809626dea3e5caebdb7f2d3,,,Windows boundary satisfied,"Windows-supplied System32 leaf, not a package-provider claim."
ntdll.dll,Windows system boundary,Windows-satisfied,81f9d523d199ba1a8bb5fb6081b39e62cdb3289aa2346880c4db43edc6922f9b,C:\Windows\System32\ntdll.dll,Windows System32 DLL,C:\Windows\System32\ntdll.dll,81f9d523d199ba1a8bb5fb6081b39e62cdb3289aa2346880c4db43edc6922f9b,,,Windows boundary satisfied,"Windows-supplied System32 leaf, not a package-provider claim."
user32.dll,Windows system boundary,Windows-satisfied,e51ed41287efd6b7cdfd8d51b82ecd5d21fffcfd0233da25074db8944c121383,C:\Windows\System32\user32.dll,Windows System32 DLL,C:\Windows\System32\user32.dll,e51ed41287efd6b7cdfd8d51b82ecd5d21fffcfd0233da25074db8944c121383,,,Windows boundary satisfied,"Windows-supplied System32 leaf, not a package-provider claim."
ws2_32.dll,Windows system boundary,Windows-satisfied,67ebbfc3a456a5623e649e1dcb26deba2b58fa0e5e8cb09aa1e03ab7355a7a49,C:\Windows\System32\ws2_32.dll,Windows System32 DLL,C:\Windows\System32\ws2_32.dll,67ebbfc3a456a5623e649e1dcb26deba2b58fa0e5e8cb09aa1e03ab7355a7a49,,,Windows boundary satisfied,"Windows-supplied System32 leaf, not a package-provider claim."
